Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
АС г. Боровичи;53004;22.03.2017;г. Боровичи Новгородская область, г. Боровичи, ул. Советская, 116;"ООО ""НПАТК""";6;10;г. Боровичи (ул. Декабристов, ул. Гоголя, ул. Советская)
ОП с. Осенево;76030;22.05.2017;с. Осенево а/д Р-79 «Иваново – Гаврилов-Ям – Ярославль», 49км+765 (справа), 49км+524м (слева);Департамент транспорта Ярославской области;30;2;а/д Иваново-Писцово-Гаврилов-Ям-Ярославль, Р-79, 49км
АС г. Магнитогорск;74016;02.02.2017;455051 г. Магнитогорск Челябинская область, г. Магнитогорск, ул. Вокзальная, д. 37/1;"ООО ""Служба организации движения"" Магнитогорск";24;2;1 вариант: г. Магнитогорск (ул. Калмыкова, Северный проезд, пр. Ленина, ул. Труда, ул. Советская, ул. Вокзальная), 2 вариант: г. Магнитогорск (Белорецкое ш., ул. Цементная, Мостовой проезд, Северный переход, ул. Бехтерева, ул. Вокзальная)
ОП д. Калайкасы;21039;05.05.2017;д. Калайкасы ФАД М-7 «Волга» Москва – Владимир – Нижний Новгород – Казань – Уфа, 624км+872м (справа), 624км+830м (слева);"ФКУ Упрдор ""Прикамье""";12;5;"а/д М-7 ""Волга"", съезд в остановочный карман, 624 км"
АВ г. Хабаровск;27006;08.09.2016;680022 г. Хабаровск г. Хабаровск, ул. Воронежская, 19;ИП Мазурский Виктор Харитонович;26;3;г. Хабаровск (ул. Воронежская)
КП с. Акъяр;2021;04.10.2016;453800 с. Акъяр Республика Башкортостан, Хайбуллинский район, с. Акъяр, ул. Восточная, 8;"ГУП ""Башавтотранс""";6;3;"а/д ""Орск - Магнитогорск"", с. Акъяр (ул. Восточная)"
АС рп Ордынское;54006;05.12.2016;633261 рп Ордынское Новосибирская область, Ордынский район, рп Ордынское, пр-т Ленина, 1;"ООО ""Автосервис""";7;5;рп Ордынское (ул. Калинина, ул. Октябрьская, пр-т Ленина)
ОП г. Азов;61008;20.10.2016;346782 г. Азов Ростовская область, г. Азов, ул. Привокзальная, 4;"ПАО ""Донавтовокзал""";22;1;ул. Московская, ул. Измайлова, ул. Привокзальная
ОП г. Ясногорск;71021;22.05.2017;301030 г. Ясногорск Тульская область, г. Ясногорск, ул. Советская, 19;ИП Сардарян Алексан Оникович;24;5;г. Ясногорск (ул. Советская)
АС пгт Ровеньки;31013;08.09.2016;309740 пгт Ровеньки Белгородская область, пгт Ровеньки, ул. Шевченко, 34;"ООО ""Осколавтопасс""";6;3;"а/д ""Новый Оскол-Валуйки-Ровеньки"", ул. Хмельницкого, ул. Шевченко"
