Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
АС п. Локня;60010;19.01.2017;182900 п. Локня Псковская обл., п. Локня, ул. Красноармейская, д. 16а;"ГП Псковской области ""Псковавтотранс""";8;10;п. Локня (ул. Красноармейская)
Остановочный пункт ст. Даховская 50км;1167;05.06.2017;ст. Даховская а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 50км+269м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 50км
ОП д. Лыткино;76074;22.05.2017;д. Лыткино а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 339км+879м (справа), 339км+848м (слева);Департамент транспорта Ярославской области;30;2;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 339км
Остановочный пункт п. Новоукраинский 106км-1;23453;05.06.2017;п. Новоукраинский а/д А-146 «Краснодар - Верхнебаканский», 106км+370м (справа), 106км+205м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-146 Краснодар - Верхнебаканский, п. Новоукраинский, ул. Темченко
ОП с. Нечаевка;36037;03.04.2017;с. Нечаевка а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону – Краснодар – Новороссийск с. Нечаевка 520км+900м (справа), 520 км+770м (слева);"ГК ""Автодор""";12;2;"М-4 ""Дон"" 520 км, с. Нечаевка"
АВ г. Новошахтинск;61017;20.10.2016;346914 г. Новошахтинск Ростовская область, г. Новошахтинск, ул. Харьковская, 81;"ПАО ""Донавтовокзал""";26;1;ул. Харьковская
ОП г. Саяногорск;19002;22.05.2017;655602 г. Саяногорск Республика Хакасия, г. Саяногорск, ул. Ивана Ярыгина, 9;"ООО ""Автовокзал""";18;5;1 вариант: г. Саяногорск (ул. И. Ярыгина), 2 вариант: г. Саяногорск (ул. Ленина, ул. И. Ярыгина)
АВ г. Тверь;69007;13.03.2017;г. Тверь Тверская область, г. Тверь, ул. Коминтерна, 10;"ОАО ""Тверьавтотранс""";68;3;г. Тверь (ул. Коминтерна)
ОП с. Байкалово;66079;22.05.2017;с. Байкалово Свердловская обл., с. Байкалово, ул. Мальгина, 94;"ООО ""Экспресс""";6;3;с. Байкалово (ул. Мальгина)
Кассовый пункт с. Калтасы;2039;20.08.2016;452860 с. Калтасы Республика Башкортостан, Калтасинский район, с. Калтасы, ул. Кооперативная, 1-Г;"ГУП ""Башавтотранс""";6;2;1 вариант: с восточной  и с западной стороны с. Калтасы (ул. Южная), 2 вариант: с северной  стороны с. Калтасы (ул. Кооперативная)
ОП с. Введенское 10км-2;50355;05.05.2017;д. Введенское а/д А-107 «Московское малое кольцо» 10км+842м (справа), 10км+900м (слева);"ГК ""Автодор""";12;2;а/д А-107 «Московское малое кольцо», Можайско-Волоколамское шоссе: съезд в остановочный карман 10км
ОП г. Иваново;37015;02.08.2016;153007 г. Иваново  Ивновонская обл., г. Иваново, пл. Вокзальная, д. 3;"АО ""Ивановское производственное объединение автовокзалов и пассажирских автостанций""";24;5;Р600, г. Иваново (ул. Фрунзе, пр-т ЛЕнина, ул. К.Маркса, ул. Вокзальная)
ОП н. Рассказово 36км;68068;20.05.2017;г. Рассказово а/д Р-208 Тамбов – Пенза, 35км+607м (справа), 36км+678м (слева);"ФКУ Упрдор ""Москва - Волгоград""";12;5;а/д Р-208 Тамбов – Пенза, 36км
АС  г. Богородицк;71022;04.10.2016;301832 г. Богородицк Тульская область, г. Богородицк, ул. Пролетарская, д. 42;"ООО ""Актив инвест""";21;2;М-4, г. Богородицк (ул. Коммунаров, ул. Пролетарская, д. 42)
АС г. Первоуральск;66041;18.07.2016;г. Первоуральск Свердловская обл., г. Первоуральск, 3-й км. Московского шоссе;"ООО ""Лира""";14;1;1 вариант. Со стороны г. Екатеринбург: г. Первоуральск (ул. Талица), г. Первоуральск (Московское шоссе), 2 вариант. Со стороны п. Билимбай: г. Первоуральск (ул. Орджоникидзе), г. Первоуральск (ул. Ленина), г. Первоуральск (пр. Ильича), г. Первоуральск (Московское шоссе)
Остановочный пункт д. Титово 0км;69162;05.06.2017;д. Титово а/д «Титово – Белый Городок – Приволжский», 0км+094м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Титово – Белый Городок – Приволжский», 0км
ОП с. Велье;60063;13.03.2017;"с. Велье ФАД Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" с. Велье 380км.+919м. (слева), 380км.+994м. (справа)";"ФКУ ""Севзапуправтодор""";12;5;"Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" 380км с. Велье"
"Кассовый пункт ""Знаменское""";57046;11.07.2016;с. Знаменское Орловская обл., с. Знаменское, ул. Кирова;"АО ""Орелавтотранс""";12;10;с. Знаменское, ул. Кирова
Остановочный пункт п. Белый 81км;23435;05.06.2017;п. Белый А-290 Новороссийск - Керчь, 81км+ 641м слева;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 81км
ОП г. Купино;54072;05.05.2017;632735 г. Купино Новосибирская область, г. Купино, ул. Железнодорожная, 26/3;"МУП ""Купинское АТП""";6;5;1 вариант: со стороны Новосибирска, Павлодара: К-01, г. Купино (ул. Советов), 2 вариант: со стороны Чистоозерного, Омска: К-01, г. Купино (ул. Лермонтова, ул. Рабочая, ул. Островского, ул. 1-я Аксенова, ул. Советов)
Остановочный пункт п. Яблоновский-1;1038;05.06.2017;п. Яблоновский  а/д А-146 «Краснодар - Верхнебаканский», 15км+520м (справа);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-146 Краснодар - Верхнебаканский, ул. Дорожная
ОП слобода Белая;46035;13.10.2016;307910 сл. Белая Курская область, сл. Белая, ул. 1 мая, 2;"ООО ""Региональное объединение автостанций""";12;5;"а/д ""Обоянь-Суджа-Белая"", сл. Белая (ул. Комсомольская, ул. Журавского, ул. 1-е Мая)"
ОП д. Тивдия;10040;20.05.2017;д. Тивдия а/д Р-21 «Кола» Санкт-Петербург – Петрозаводск – Мурманск – Печенга – граница с Королевством Норвегия, 571км+210м (слева), 571км+706м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д Р-21 «Кола» Санкт-Петербург – Петрозаводск – Мурманск – Печенга – граница с Королевством Норвегия, 571км
"АС ""Ленинградское шоссе""";77011;11.07.2016;125445 г. Москва г. Москва, Ленинградское шоссе, вл. 71;"ГУП ""Мосгортранс""";4;1;г. Москва (МКАД, Ленинградское шоссе)
АС. г. Темников;13050;29.09.2016;431220 г. Темников Республика Мордовия, г. Темников, ул. Розы Люксембург, 97;"ОАО  ""Объединение автовокзалов и автостанций""";6;5;ул. Розы Люксембург
Кассовый пункт ст. Старолеушковская;23063;13.03.2017;352054  ст. Старолеушковская Краснодарский край, Павловский р-н, ст. Старолеушковская, ул. Ленина;"АФ ""Кубаньпассажиравтосервис"" ОАО";12;2;ст. Старолеушковская (ул. Ленина)
ОП с. Курота;4111;22.03.2017;"с. Курота АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай)  621км.+ 798м. (справа), 622км.+ 195м. (слева)";"ФКУ Упрдор ""Алтай""";12;5;"АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай), 621 км, с. Курота"
ОП г. Кумертау;2282;22.05.2017;г. Кумертау Республика Башкортостан, г. Кумертау, ул. Брикетная, 2;"ООО ""Автовокзал Иремель""";4;2;Р-240, г. Кумертау (ул. Шоссейная, ул. Брикетная)
Остановочный пункт п. Речане;69134;05.06.2017;п. Речане а/д «Москва – Рига – Торопец – Плоскошь», 12км+318м (справа), 12км+363м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Москва – Рига – Торопец – Плоскошь», 12км
АВ г. Благовещенск;28003;08.09.2016;675000 г. Благовещенск Амурская область, г. Благовещенск, ул. 50 лет Октября, 44;"ЗАО ""Автовокзал""";14;2;ул. Красноармейская
АС с. Черниговка;25029;22.03.2017;692372 с. Черниговка Приморский край, с. Черниговка, ул. Шоссейная, 3;"ООО ""Приморские Авто Линии""";6;5;"а/д ""Уссури"", с. Черниговка (ул. Шоссейная)"
ОП п. Красногородск;60017;02.02.2017;п. Красногородск Псковская область, п. Красногородск, ул. Советская, 27;"ГП Псковской области ""Псковавтотранс""";6;10;п. Красногородск (ул. Советская)
ОП г. Кольчугино;33017;19.01.2017;г. Кольчугино Владимирская обл., ул. Вокзальная, 22А;"ООО ""Кольчугинский автобус""";6;10;Со стороны г. Москва, г. Киржач: г. Кольчугино (ул. Гагарина, пл. Ленина, ул. 3 Интернациональная, ул. Вокзальная)
ОП с. Возрождение 1494км;23399;05.05.2017;с. Возрождение а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1494км+948м (слева);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1494км"
Топкинская АС;42023;18.07.2016;652320 г. Топки г. Топки, ул. Революции, 40;"Государственное учреждение ""Кузбасспассажиравтотранс""";22;1;"Со стороны г. Кемерово: г. Топки (мкрн ""Красная Горка""), г. Топки (ул. Революции)"
Остановочный пункт с. Лэзым;11013;05.06.2017;с. Лэзым а/д Р-176 «Вятка», Чебоксары – Йошкар-Ола – Киров – Сыктывкар, 758км+814м (справа), 757км+454м (слева);"ФКУ Упрдор ""Прикамье""";12;5;"а/д Р-176 ""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар, 757км"
АВ г. Славгород;22030;19.01.2017;658820 г. Славгород Алтайский край, г. Славгород, ул. 1-Вокзальная, 28/3;"ООО ""Славгородское автотранспортное предприятие""";7;2;Со стороны Барнаула (ч/з Благовещенку, Родино), Белокурихи, Рубцовска, Михайловское: ул. 2-Вокзальная, ул. 1-Вокзальная , Со стороны Барнаула (ч/з Хабары), Новосибирска, Кемерово, Новокузнецка: ул. Ленина, ул. 1-Вокзальная , Со стороны Яровое: ул. Титова, ул. 1-Вокзальная , Со стороны Омска, Карасука, Павлодара: ул. Пушкина, ул. Мамонтова, ул. Титова, ул. 1-Вокзальная , Со стороны Барнаула (ч/з Камень-на-Оби, В-Суетку): ул. 40 лет Победы, ул. Ленина, ул. 1-Вокзальная
ОП д. Анненки;40045;20.05.2017;д. Анненки а/д М-3 «Украина», подъезд к г. Калуга 6км+300 (право);"ФКУ Упрдор ""Москва - Бобруйск""";12;5;а/д М-3 «Украина», подъезд к г. Калуга 6км
ОП д. Михальки;60136;13.03.2017;"д. Михальки ФАД Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" н.п. Михальки 456км.+485м. (слева), 456км.+496м. (справа)";"ФКУ ""Севзапуправтодор""";12;5;"М-9 ""Балтия"" Москва - Волоколамск - граница с Латвийской Республикой, д. Михальки, 456км"
ОП ст. Зольская;26030;02.08.2016;357324 ст. Зольская Ставропольский край, Кировский р-н, ст. Зольская, ул. Октябрьская, д. 28;"ОАО ""Автовокзал""";24;5;1 вариант: ст. Зольская (ул. Хаустова, ул. Октябрьская), 2 вариант: Р217, ст. Зольская (ул. 30 лет Октября, ул. Октябрьская)
Остановочный пункт п. Новоукраинский 102км;23449;05.06.2017;п. Новоукраинский а/д А-146 «Краснодар - Верхнебаканский», 102км+010м (справа);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-146 Краснодар - Верхнебаканский, п. Новоукраинский, ул. Темченко
Остановочный пункт д. Бахмутово;69123;05.06.2017;д. Бахмутово а/д «Осташков – Селижарово – Ржев», 106км+669м (справа), 106км+740м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Осташков – Селижарово – Ржев», 106км
ОП пгт Заплюсье 179км;60030;13.03.2017;"пгт Заплюсье ФАД Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" н.п. Заплюсье 179км.+185м. (слева), 179км.+327м. (справа)";"ФКУ ""Севзапуправтодор""";12;5;Р23 Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия, пгт Заплюсье, 179 км
Кассовый пункт ст. Старощербиновская;23052;13.03.2017;353700 ст. Старощербиновская Краснодарский край, Щербиновский р-н, ст. Старощербиновская, ул. Краснопартизанская, 151/3;"АФ ""Кубаньпассажиравтосервис"" ОАО";24;2;ст. Старощербиновская (ул. Центральная, ул. Краснопартизанская)
АС с. Старое Шайгово;13018;29.09.2016;431540 с. Старое Шайгово Республика Мордовия, с. Старое Шайгово, ул. Шишканова, 113А;"ОАО  ""Объединение автовокзалов и автостанций""";6;5;М-5, ул. Шишканова
АС г. Куса;74013;20.02.2017;456940 г. Куса Челябинская область, г. Куса, ул. Бубнова, 32;"ООО ""АТП Куса авто""";4;10;г. Куса (ул. Бубнова)
ОП п. Приамурский;79006;20.04.2017;"п. Приамурский а/д Р-297 «Амур» Чита– Невер – Свободный – Архара – Биробиджан – Хабаровск 2152км+477м (справа), 2152км+471м (слева)";"ФКУ ""Дальуправтодор""";12;5;"а/д Р-297 ""Амур"": автобусная остановка на км 2152"
ОП п. Смидович;79018;20.04.2017;"п. Смидович а/д Р-297 «Амур» Чита– Невер – Свободный – Архара – Биробиджан – Хабаровск 2063км+424м (справа), 2063км+428м (слева)";"ФКУ ""Дальуправтодор""";12;5;"а/д Р-297 ""Амур"": автобусная остановка на км 2063"
КП Малоархангельск;57058;26.07.2016;г. Малоархангельск Орловская обл., г. Малоархангельск, ул. Калинина, 16;"АО ""Орелавтотранс""";24;10;г. Малоархангельск (ул. Калинина)
Кассовый пункт с. Стерлибашево;2050;20.08.2016;453180 с. Стерлибашево Республика Башкортостан, Стерлибашевский район, с. Стерлибашево, ул. Ленина, 79;"ГУП ""Башавтотранс""";3;3;с. Стерлибашево (ул. Ленина)
КДП пгт Комаричи;32044;02.02.2017;пгт Комаричи Брянская область, пгт Комаричи, ул. Незымаева, 42Г;ИП Струков А.В.;48;5;пгт Комаричи (ул. Советская, ул. Незымаева)
АС  г. Челябинск;74154;22.03.2017;454111 г. Челябинск Челябинская область, г. Челябинск, ул. С. Разина, 9;"ООО ""Служба организации движения"" Магнитогорск";32;2;1 вариант: г. Челябинск (Свердловский тракт, Свердловский пр-т, ул. Труда, ул. Свободы), 2 вариант: г. Челябинск (Свердловский тракт, Свердловский пр-т, ул. Каслинская, ул. Красная, ул. Труда, ул. Свободы), 3 вариант: г. Челябинск (Бродокалмакский тракт, ул. Бажова, ул. Героев Танкограда, ул. Первой Пятилетки, пр-т Ленина, ул. Свободы, ул. Степана Разина), 4 вариант: г. Челябинск (Бродокалмакский тракт, ул. Бажова, ул. Героев Танкограда, ул. Первой Пятилетки, ул. Труда, ул. Свободы), 5 вариант: г. Челябинск (Троицкий тракт, ул. Дарвина, ул. Блюхера, ул. Салтыкова, ул. Карпинского, ул. Камышовая, ул. Железнодорожная), 6 вариант: г. Челябинск (Уфимский тракт, ул. Блюхера, ул. Салтыкова, ул. Карпинского, ул. Камышовая, ул. Железнодорожная)
ОП пгт Архипо-Осиповка 1458км-2;23390;05.05.2017;пгт Архипо-Осиповка а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1458км+600м (справа), 1458км+577м (слева);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1458км"
ОП пгт. Корфовский;27017;20.04.2017;пгт. Корфовский а/д А-370 «Уссури» Хабаровск– Владивосток 27км+280м (справа), 27км+200м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 27"
Остановочный пункт ст. Раздольная;1158;05.06.2017;ст. Раздольная а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 114км+760м (справа) 114км+810м (справа);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 114км
ОП п. Новая Ляда 14км;68064;20.05.2017;п. Новая Ляда а/д Р-208 Тамбов – Пенза, 14км+781м (слева);"ФКУ Упрдор ""Москва - Волгоград""";12;5;а/д Р-208 Тамбов – Пенза, 14км
Остановочный пункт ст. Ярославская;23051;05.06.2017;ст. Ярославская а/д Р-217 «Кавказ» а/д М-4 «Дон» – Владикавказ – Грозный – Махачкала – граница с Азербайджанской Республикой, 73км+250м (справа), 73км+229м (слева);"ФКУ Упрдор ""Черноморье""";12;5;"а/д Р-217 ""Кавказ"" а/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой. Подъезд к г. Майкоп, ст. Ярославская, ул. Первомайская"
Кассовый пункт г. Назарово;24003;13.03.2017;662200 г. Назарово Красноярский край, г. Назарово, ул. Карла Маркса, 48, пом. 71;"ОАО ""Автоколонна 1967""";12;5;г. Назарово (ул. К. Маркса)
ОП  с. Дивное;26019;02.08.2016;356720 с. Дивное Ставропольский край, с. Дивное, ул. Вокзальная, д. 27;"ОАО ""Автовокзал""";20;5;1 вариант: с. Дивное (ул. Чехова, ул. Вокзальная), 2 вариант: с. Дивное (ул. Шоссейная, ул. Вокзальная)
АС г. Шумерля;21028;21.11.2016;г. Шумерля Чувашская Республика, г. Шумерля, ул. Октябрьская, 1;"АО ""АвтоВАС""";12;5;"а/д ""Чебоксары-Сурское"", г. Шумерля (ул. Щербакова, ул. Октябрьская)"
ОП с. Алаево;42050;05.05.2017;"с. Алаево а/д Р-255 ""Сибирь"" Новосибирск – Кемерово – Красноярск – Иркутск, 81км+827м (справа)";"ФКУ ""Сибуправтодор""";12;5;"а/д Р-255 ""Сибирь"", 81 км"
Остановочный пункт п. Владимировка;23422;05.06.2017;п. Владимировка А-290 Новороссийск - Керчь, 10км+ 115м слева, 7км+188м справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 10км
Кассовый пункт с. Белая Глина;23043;13.03.2017;353040 с. Белая Глина Краснодарский край, Белоглинный р-н, с. Белая глина, ул. Пролетарская, 285;"АФ ""Кубаньпассажиравтосервис"" ОАО";12;2;с. Белая Глина (ул. Привокзальная, ул. Крестьянская, ул. Пролетарская)
Остановочный пункт ст. Кирпильская 106км;1157;05.06.2017;ст. Кирпильская а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 103км+325м (справа) 103км+455м (справа);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-160 «Майкоп – Усть-Лабинск - Кореновск», 103км
АВ г. Псков;60014;05.12.2016;г. Псков Псковская область, г. Псков, ул. Вокзальная, 21;"ГП Псковской области ""Псковавтотранс""";26;10;г. Псков (ул. Вокзальная)
ОП п. Аэропорт;25084;20.04.2017;п. Аэропорт а/д А-370 «Уссури» Хабаровск– Владивосток 344км+976м (справа), 344км+980м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 344"
АВ Центральный г. Челябинск;74037;13.03.2017;454091 г. Челябинск Челябинская область, г. Челябинск, Свердловский пр., 51;"ООО ""Служба организации движения"" Магнитогорск";40;2;"1 вариант: г. Челябинск (Бродоколмакский тракт, ул. Бажова, ул. Комарова, ул. Героев Танкограда, ул. Первой Пятилетки, ул. Труда), 2 вариант: г. Челябинск (Свердловский тракт, ул. Новомеханическая, а/д ""Меридиан"", ул. Артилерийская, ул. Первой Пятилетки, ул. Труда), 3 вариант: г. Челябинск (пр-т Победы, Свердловский пр-т, ул. Братьев Кашириных, ул. Каслинская, мост через реку Миасс, ул. Красная), 4 вариант: г. Челябинск (Уфимский тракт, ул. Блюхера, ул. Воровского, ул. Красная), 5 вариант: г. Челябинск (Троицкий тракт, ул. Дарвина, ул. Блюхера, ул. Воровского, ул. Красная), 6 вариант: г. Челябинск (Уфимский тракт, ул. Блюхера, ул. Салтыкова, ул. Карпинского, ул. Камышовая, ул. Железнодорожная, ул. Свободы, ул. Труда)"
ОП с. Отрадное;27011;20.04.2017;с. Отрадное а/д А-370 «Уссури» Хабаровск– Владивосток 126км+785м (справа), 126км+760м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 126"
АВ г. Нефтекамск;2012;20.08.2016;452680 г. Нефтекамск Республика Башкортостан, г. Нефтекамск, ул. Трактовая, 16-ПЗ;"ГУП ""Башавтотранс""";10;3;1 вариант: с западной стороны г. Нефтекамск (ул. Дорожная, ул. Трактовая), 2 вариант: с восточной стороны г. Нефтекамск (ул.Трактовая), 3 вариант: с северной стороны г. Нефтекамск (ул. Янаульская , ул. Трактовая)
Диспетчерско-кассовый пункт с. Комсомольское;21013;03.04.2017;429140 с. Комсомольское Чувашская Республика, с. Комсомольское, ул. Канашская, 35;"АО ""АвтоВАС""";36;5;М7, А151, с. Комсомольское (ул. Канашская)
КП г. Фурманов;37012;19.01.2017;г. Фурманов Ивановская обл., г. Фурманов, ул. Тимирязева, д. 5б;"АО ""Ивановское производственное объединение автовокзалов и пассажирских автостанций""";12;5;Р600, г. Фурманов (ул. Большая Фурмановская, ул. Советская, ул. Возрождения, ул. Д.Бедного, ул. Тимирязева)
АВ г. Ишимбай;2009;20.08.2016;453200 г. Ишимбай Республика Башкортостан, г. Ишимбай, ул. Жукова,  2а;"ГУП ""Башавтотранс""";15;4;г. Ишимбай (Индустриальное шоссе, ул. Жукова)
ОП с. Йодро;4113;22.03.2017;"с. Йодро  АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай)  735км.+ 322м. (справа), 735км.+ 300м. (слева)";"ФКУ Упрдор ""Алтай""";12;5;"АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай), 735 км, с. Йодро"
Павловская автостанция;22167;05.05.2017;659000 с. Павловск Алтайский край, Равловский р-н, с. Павловск, ул. Пионерская, 20;"ООО ""Транзит""";9;10;1 вариант: со стороны Барнаула: с. Павловск (ул. Калинина, ул. Пионерская), 2 вариант: со стороны Шелаблихи, Ребрихи: с. Павловск (Каменский тракт, ул. Пожогина, ул. Пионерская)
ОП д. Юшково 3км;50461;05.05.2017;д. Юшково а/д А-107 «Московское малое кольцо» 3км+720м (справа), 3км+436м (слева);"ГК ""Автодор""";12;2;а/д А-107 «Московское малое кольцо», Можайско-Волоколамское шоссе: съезд в остановочный карман 3км
Остановочный пункт с. Новоукраинское 99км;23442;05.06.2017;с. Новоукраинское а/д Р-217 «Кавказ» а/д М-4 «Дон» – Владикавказ – Грозный – Махачкала – граница с Азербайджанской Республикой, 99км+594м (справа), 99км+451м (слева);"ФКУ Упрдор ""Черноморье""";12;5;"а/д Р-217 ""Кавказ"" а/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой. Подъезд к г. Майкоп, с. Новоукраинское, ул. Дорожная"
Остановочный пункт п. Ленинский Путь;23424;05.06.2017;п. Ленинский Путь А-290 Новороссийск - Керчь, 20км+ 711м слева, 21км+026м справа;"ФКУ Упрдор ""Черноморье""";12;5;А-290 Новороссийск - Керчь, 20км
АС г. Шарья;44029;18.07.2016;157610 г. Шарья Костромская обл., г. Шарья, пл. Привокзальная;"ЗАО ""Костромское предприятие по обслуживанию пассажиров автобусными перевозками""";3;2;г. Шарья (ул. Вокзальная), г. Шарья (Привокзальная пл.)
АС №1 г. Елец;48014;19.01.2017;399785 г. Елец Липецкая обл., г. Елец, ул. Задонская, 47;"ЕМУП ""Автоколонна № 1499""";4;5;г. Елец (ул. Задонская)
ОП д. Катежно;60086;13.03.2017;"д. Катежно ФАД Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" д. Катежно 235км.+803м. (слева), 235км.+750м. (справа)";"ФКУ ""Севзапуправтодор""";12;5;"Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" 235км д. Катежно"
ОП с. Крошнозеро;10028;20.05.2017;с. Крошнозеро а/д А-121 «Сортвала» Санкт-Петербург – Сортвала – автомобильная дорога Р-21 «Кола», 441км+658м (слева), 441км+633м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-121 «Сортвала» Санкт-Петербург – Сортвала – автомобильная дорога Р-21 «Кола», 441км
КП Колпна;57059;26.07.2016;пгт Колпна Орловская обл., пгт Колпна, ул. Интернациональная, 4;"АО ""Орелавтотранс""";12;10;пгт Колпна (ул. Интернациональная)
Остановочный пункт п. Хамышки 71км;1170;05.06.2017;п. Хамышки а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 71км+890м (справа);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-159 «Подъездная дорога от г. Майкопа к Кавказскому Государственному биосферному заповеднику», 71км
ОП ст. Григорополисская;26055;02.08.2016;356022 ст. Григорополисская Ставропольский край, Новоалександровский район, ст. Григорополисская, ул. Ленина, д. 107;"ОАО ""Автовокзал""";24;5;1 вариант: ст. Григорополисская (ул. Буденного), 2 вариант: ст. Григорополисская (ул. Ленина)
АС пгт Холм-Жирковский;67014;22.05.2017;215650 пгт Холм-Жирковский Смоленская обл., пгт. Холм-Жирковский, ул. Московская, 9;"МУП ""Холм-Жирковское ПАТП""";10;2;пгт Холм-Жирковский (ул. Советская, ул. Московская)
АС г. Зубцов;69085;22.03.2017;172332 г. Зубцов  Тверская область, г. Зубцов, ул. Володарского, 29;"МУАП ""Зубцовавтотранс""";5;1;"М9 ""Балтия"", г. Зубцов (ул. Володарского), Из г. Ржев, г. Тверь: трасса М9 ""Балтия"", ул. Володарского"
ОП д. Кресты;60145;13.03.2017;"д. Кресты ФАД Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" н.п. Кресты 436км.+366м. (слева), 436км.+117м. (справа)";"ФКУ ""Севзапуправтодор""";12;5;"М-9 ""Балтия"" Москва - Волоколамск - граница с Латвийской Республикой, д. Кресты, 436км"
АС г. Протвино;50031;02.02.2017;142284 г. Протвино Московская область, г. Протвино, ул. Ленина, д. 1А;"ГУП МО ""Мострансавто""";4;2;1 вариант: из г. Москва, г. Серпухов: г. Протвино (Борисовское ш., пр-д Мишина, ул. Володарского, ул. Чернышевского), 2 вариант: из г. Москва, г. Чезов, г. Серпухов: г. Протвино (Московское ш., ул. 2-я Московская, ул. Володарского, ул. Чернышевского, ул. Фестивальная)
ОП р. Ухра;76087;22.05.2017;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 284км+980м (справа), 284км+200м (слева);Департамент транспорта Ярославской области;30;2;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 284км
ОП пгт Хор 72 км;27016;20.04.2017;пгт Хор а/д А-370 «Уссури» Хабаровск– Владивосток 72км+730м (справа), 72км+588м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 72"
АС пгт Голышманово;72005;29.09.2016;пгт Голышманово Тюменская область, пгт Голышманово, ул. Вокзальная, 52;"ГБУ ТО ""Объединение АВ и АС""";9;5;"1 вариант: Р-402, ул. Пролетарская, ул. Вокзальная, 2 вариант: Е-30, а/д ""Бердюжье-Голышманово"", пгт Голышманово (ул. Островского, ул. Пролетарская, ул. Вокзальная)"
АВ г. Белебей;2006;20.08.2016;452030  г. Белебей Республика Башкортостан,  г. Белебей, ул. Мало-Луговая, 53;"ГУП ""Башавтотранс""";14;4;1 вариант: с западной стороны трассы М5 - г. Белебей (ул. Войкова, ул. Пионерская), 2 вариант: с восточной стороны - Белебей (ул. Советская, ул. Мало-Луговая)
